테이블명,테이블 설명,모듈구분,시스템 테이블,컬렴명,컬렴설명,데이터 타입,NOT NULL,PK 여부,FK 여부,참조 테이블,참조 컬럼
BAR200,바코드 납품리스트,자재,,cdt,생성일,Date,,,,,
BAR200,바코드 납품리스트,자재,,mid,수정자,Int,,,,,
BAR200,바코드 납품리스트,자재,,mdt,수정일,Date,,,,,
BAR250,바코드발주납품 연결,자재,,bar_id,바코드ID,Int,1,1,,,
BAR250,바코드발주납품 연결,자재,,po_no,발주번호,Text,1,,,,
BAR250,바코드발주납품 연결,자재,,po_sq,발주순번,Int,1,,,,
BAR250,바코드발주납품 연결,자재,,dlv_no,납품번호,Date,1,,,,
BAR250,바코드발주납품 연결,자재,,dlv_sq,납품순번,Text,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,reg_id,등록ID,Int,1,1,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,barcode,바코드,Text,1,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,cust_nm,거래처명,Text,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,cust_cd,거래처코드,Text,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,itm_id,품목ID,Int,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,c_part_no,업체PARTNO,Text,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,c_part_nm,업체PARTNM,Text,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,c_part_spec,업체PART규격,Text,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,stat,스캔상태,Text,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,message,스캔메시지,Text,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,mid,수정자,Int,,,,,
BAR800,BA.바코드-바코드스캔체크 이력,품질,,mdt,수정일,Date,,,,,
BCA100,BC.기초코드 대분류,NULL,,main_cd,대분류코드,Text,1,1,,,
BCA100,BC.기초코드 대분류,NULL,,title,분류명,Text,,,,,
BCA100,BC.기초코드 대분류,NULL,,mdl_cd,모듈코드,Text,,,,,
BCA100,BC.기초코드 대분류,NULL,,grp_nm,업무분류,Text,,,,,
BCA100,BC.기초코드 대분류,NULL,,sort_bc,정열구분,Combo,,,,,
BCA100,BC.기초코드 대분류,NULL,,user_yn,사용자정의여부,Check,,,,,
BCA100,BC.기초코드 대분류,NULL,,use_yn,사용여부,Check,,,,,
BCA100,BC.기초코드 대분류,NULL,,popup_id,NULL,Int,,,,,
BCA100,BC.기초코드 대분류,NULL,,rmks,설명,Text,,,,,
BCA100,BC.기초코드 대분류,NULL,,cid,생성자,Int,,,,,
BCA100,BC.기초코드 대분류,NULL,,cdt,생성일,Date,,,,,
BCA100,BC.기초코드 대분류,NULL,,mid,수정자,Int,,,,,
BCA100,BC.기초코드 대분류,NULL,,mdt,수정일,Date,,,,,
BCA100L,BC.기초코드명,NULL,,main_cd,대분류코드,Text,1,1,,,
BCA100L,BC.기초코드명,NULL,,lan_id,언어ID,Int,1,1,,,
BCA100L,BC.기초코드명,NULL,,nm,명,Text,,,,,
BCA150,BC.기초코드관리항목,NULL,,main_cd,대분류코드,Text,1,1,,,
BCA150,BC.기초코드관리항목,NULL,,mng_sq,관리항목번호,Int,1,1,,,
BCA150,BC.기초코드관리항목,NULL,,title,관리항목명,Text,,,,,
BCA200,BC.기초코드,NULL,,base_cd,기초코드,Text,1,1,,,
BCA200,BC.기초코드,NULL,,main_cd,대분류코드,Text,,,,,
BCA200,BC.기초코드,NULL,,sub_cd,소분류코드,Text,,,,,
BCA200,BC.기초코드,NULL,,title,기초코드명,Text,,,,,
BCA200,BC.기초코드,NULL,,ord_sq,정열순서,Int,,,,,
BCA200,BC.기초코드,NULL,,user_yn,사용자정의여부,Check,,,,,
BCA200,BC.기초코드,NULL,,use_yn,사용여부,Check,,,,,
BCA200,BC.기초코드,NULL,,rmks,설명,Text,,,,,
BCA200,BC.기초코드,NULL,,old_cd,OLD CODE,Text,,,,,
BCA200,BC.기초코드,NULL,,cid,생성자,Int,,,,,
BCA200,BC.기초코드,NULL,,cdt,생성일,Date,,,,,
BCA200,BC.기초코드,NULL,,mid,수정자,Int,,,,,
BCA200,BC.기초코드,NULL,,mdt,수정일,Date,,,,,
BCA200L,BC.기초코드명(언어),NULL,,base_cd,기초코드,Text,1,1,,,
BCA200L,BC.기초코드명(언어),NULL,,lan_id,언어ID,Int,1,1,,,
BCA200L,BC.기초코드명(언어),NULL,,nm,명,Text,,,,,
BCA250,BC.기초코드관리항목값,NULL,,base_cd,기초코드,Text,1,1,,,
BCA250,BC.기초코드관리항목값,NULL,,mng_sq,관리항목번호,Int,1,1,,,
BCA250,BC.기초코드관리항목값,NULL,,mng_val,관리항목값,Text,,,,,
BCC100,BC.법인정보,NULL,,co_cd,법인코드,Text,1,1,,,
BCC100,BC.법인정보,NULL,,co_no,법인등록번호,Text,1,,,,
BCC100,BC.법인정보,NULL,,co_nm,법인명,Text,1,,,,
BCC100,BC.법인정보,NULL,,co_bnm,법인명_약칭,Text,,,,,
BCC100,BC.법인정보,NULL,,co_dt,법인설립일,Date,,,,,
BCC100,BC.법인정보,NULL,,fr_dt,법인개업일자,Date,,,,,
BCC100,BC.법인정보,NULL,,to_dt,법인폐업일자,Date,,,,,
BCC100,BC.법인정보,NULL,,co_bc,법인구분,Combo,,,,,
BCC100,BC.법인정보,NULL,,biz_bc,기업구분,Combo,,,,,
BCC100,BC.법인정보,NULL,,head_bs,본지점사업장,Text,,,,,
BCC100,BC.법인정보,NULL,,addr,본점주소,Text,,,,,
BCC100,BC.법인정보,NULL,,zip_cd,우편번호,Text,,,,,
BCC100,BC.법인정보,NULL,,ceo_nm,대표자명,Text,,,,,
BCC100,BC.법인정보,NULL,,ceo_id,대표자주민번호,Text,,,,,
BCC100,BC.법인정보,NULL,,approv_no,총괄승인납부번호,Text,,,,,
BCC100,BC.법인정보,NULL,,trade_no,무역업허가번호,Text,,,,,
BCC100,BC.법인정보,NULL,,sys_cd,회계계정체계코드,Text,,,,,
BCC100,BC.법인정보,NULL,,cury_bc,통화,Combo,,,,,
BCC100,BC.법인정보,NULL,,capital_amt,자본금,Text,,,,,
BCC100,BC.법인정보,NULL,,set_mon,결산월,Text,1,,,,
BCC100,BC.법인정보,NULL,,stamp,법인직인,Image,,,,,
BCC100,BC.법인정보,NULL,,disp_sq,출력순번,Int,,,,,
BCC100,BC.법인정보,NULL,,rmks,설명,Text,,,,,
BCC100,BC.법인정보,NULL,,cid,생성자,Int,,,,,
BCC100,BC.법인정보,NULL,,cdt,생성일,Date,,,,,
BCC100,BC.법인정보,NULL,,mid,수정자,Int,,,,,
BCC100,BC.법인정보,NULL,,mdt,수정일,Date,,,,,
BCC100L,BC.법인명(언어),NULL,,cd,법인코드,Text,1,1,,,
BCC100L,BC.법인명(언어),NULL,,co_nm1,법인명1,Text,1,,,,
BCC100L,BC.법인명(언어),NULL,,co_nm2,법인명2,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_nm3,법인명3,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_nm4,법인명4,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_nm5,법인명5,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_nm6,법인명6,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_bnm1,법인명_약칭1,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_bnm2,법인명_약칭2,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_bnm3,법인명_약칭3,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_bnm4,법인명_약칭4,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_bnm5,법인명_약칭5,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,co_bnm6,법인명_약칭6,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,addr1,본점주소1,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,addr2,본점주소2,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,addr3,본점주소3,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,addr4,본점주소4,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,addr5,본점주소5,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,addr6,본점주소6,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,ceo_nm1,대표자명1,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,ceo_nm2,대표자명2,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,ceo_nm3,대표자명3,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,ceo_nm4,대표자명4,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,ceo_nm5,대표자명5,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,ceo_nm6,대표자명6,Text,,,,,
BCC100L,BC.법인명(언어),NULL,,cid,생성자,Int,,,,,
BCC100L,BC.법인명(언어),NULL,,cdt,생성일,Date,,,,,
BCC100L,BC.법인명(언어),NULL,,mid,수정자,Int,,,,,
BCC100L,BC.법인명(언어),NULL,,mdt,수정일,Date,,,,,
BCC200,BC.사업장정보,NULL,,bs_cd,사업장코드,Text,1,1,,,
BCC200,BC.사업장정보,NULL,,bs_nm,사업장명,Text,,,,,
BCC200,BC.사업장정보,NULL,,bs_bnm,사업장명_약칭,Text,,,,,
BCC200,BC.사업장정보,NULL,,ceo_nm,대표자명,Text,,,,,
BCC200,BC.사업장정보,NULL,,biz_no,사업자등록번호,Text,,,,,
BCC200,BC.사업장정보,NULL,,biz_pnm,사업장명_인쇄용,Text,,,,,
BCC200,BC.사업장정보,NULL,,biz_kind,업종,Text,,,,,
BCC200,BC.사업장정보,NULL,,biz_type,업태,Combo,,,,,
BCC200,BC.사업장정보,NULL,,biz_kind_prt,업종_인쇄용,Text,,,,,
BCC200,BC.사업장정보,NULL,,biz_type_prt,업태_인쇄용,Combo,,,,,
BCC200,BC.사업장정보,NULL,,tax_area,사업소면적_과세,Decimal,,,,,
BCC200,BC.사업장정보,NULL,,notax_area,사업소면적_비과세,Decimal,,,,,
BCC200,BC.사업장정보,NULL,,nat_cd,소재국가,Text,,,,,
BCC200,BC.사업장정보,NULL,,cury_bc,기준통화,Combo,,,,,
BCC200,BC.사업장정보,NULL,,fr_dt,개업일자,Date,,,,,
BCC200,BC.사업장정보,NULL,,to_dt,폐업일자,Date,,,,,
BCC200,BC.사업장정보,NULL,,open_dt,영업개시일,Date,,,,,
BCC200,BC.사업장정보,NULL,,zip_cd,우편번호,Text,,,,,
BCC200,BC.사업장정보,NULL,,addr,주소1,Text,,,,,
BCC200,BC.사업장정보,NULL,,addr_prt,주소_인쇄용,Text,,,,,
BCC200,BC.사업장정보,NULL,,tel,대표전화,Text,,,,,
BCC200,BC.사업장정보,NULL,,fax,대표Fax,Text,,,,,
BCC200,BC.사업장정보,NULL,,email,Email,Text,,,,,
BCC200,BC.사업장정보,NULL,,homepage,HomePage,Text,,,,,
BCC200,BC.사업장정보,NULL,,hometax_id,HomeTaxID,Text,,,,,
BCC200,BC.사업장정보,NULL,,tax_ofc_cd,관활세무서코드,Text,,,,,
BCC200,BC.사업장정보,NULL,,local_ofc_cd,지방세납부관공서,Text,,,,,
BCC200,BC.사업장정보,NULL,,tax_pay_cd,세무서납세코드,Text,,,,,
BCC200,BC.사업장정보,NULL,,vat_close_dt,부가세마감일,Date,,,,,
BCC200,BC.사업장정보,NULL,,head_yn,본사여부,Check,,,,,
BCC200,BC.사업장정보,NULL,,bank_cd,은행코드,Text,,,,,
BCC200,BC.사업장정보,NULL,,acct_nm,예금주,Text,,,,,
BCC200,BC.사업장정보,NULL,,acct_no,계좌번호,Text,,,,,
BCC200,BC.사업장정보,NULL,,frn_yn,외국인단일세율적용여부,Check,,,,,
BCC200,BC.사업장정보,NULL,,con_in_tm,출근감안시간,Int,,,,,
BCC200,BC.사업장정보,NULL,,con_out_tm,퇴근감안시간,Int,,,,,
BCC200,BC.사업장정보,NULL,,unit_tm,단위시간,Int,,,,,
BCC200,BC.사업장정보,NULL,,tax_bank,부가세환급은행코드,Text,,,,,
BCC200,BC.사업장정보,NULL,,tax_acct,부가세환급계좌,Text,,,,,
BCC200,BC.사업장정보,NULL,,tax_bank_loc,부가세환급지점,Text,,,,,
BCC200,BC.사업장정보,NULL,,tax_bs,원천징수사업장,Text,,,,,
BCC200,BC.사업장정보,NULL,,app_bs,귀속사업장,Text,,,,,
BCC200,BC.사업장정보,NULL,,co_cd,법인코드,Text,,,,,
BCC200,BC.사업장정보,NULL,,img,법인직인,Image,,,,,
BCC200,BC.사업장정보,NULL,,disp_sq,출력순번,Int,,,,,
BCC200,BC.사업장정보,NULL,,use_yn,운영여부,Check,,,,,
BCC200,BC.사업장정보,NULL,,rmks,설명,Text,,,,,
BCC200,BC.사업장정보,NULL,,cid,생성자,Int,,,,,
BCC200,BC.사업장정보,NULL,,cdt,생성일,Date,,,,,
BCC200,BC.사업장정보,NULL,,mid,수정자,Int,,,,,
BCC200,BC.사업장정보,NULL,,mdt,수정일,Date,,,,,
BCC200L,BC.사업장명(언어),NULL,,cd,사업장코드,Text,1,1,,,
BCC200L,BC.사업장명(언어),NULL,,bs_nm1,사업장명1,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_nm2,사업장명2,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_nm3,사업장명3,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_nm4,사업장명4,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_nm5,사업장명5,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_nm6,사업장명6,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_bnm1,사업장명_약칭1,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_bnm2,사업장명_약칭2,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_bnm3,사업장명_약칭3,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_bnm4,사업장명_약칭4,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_bnm6,사업장명_약칭5,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,bs_bnm5,사업장명_약칭6,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,ceo_nm1,대표자명1,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,ceo_nm2,대표자명2,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,ceo_nm3,대표자명3,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,ceo_nm4,대표자명4,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,ceo_nm5,대표자명5,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,ceo_nm6,대표자명6,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,addr1,주소1,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,addr2,주소2,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,addr3,주소3,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,addr4,주소4,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,addr5,주소5,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,addr6,주소6,Text,,,,,
BCC200L,BC.사업장명(언어),NULL,,cid,생성자,Int,,,,,
BCC200L,BC.사업장명(언어),NULL,,cdt,생성일,Date,,,,,
BCC200L,BC.사업장명(언어),NULL,,mid,수정자,Int,,,,,
BCC200L,BC.사업장명(언어),NULL,,mdt,수정일,Date,,,,,
BCC210,BC.계산서발행자정보,NULL,,bs_cd,사업장코드,Text,1,1,,,
BCC210,BC.계산서발행자정보,NULL,,bill_dept,계산서담당부서명,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,bill_nm,계산서담당자명,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,bill_tel,계산서담당전화,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,bill_email,계산서담당Email,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,bill_id,아이디,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,bill_pwd,암호,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,bill_cd,업체코드,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,cert_dn,인증서_DN,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,cert_info,인증서_Info,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,rtn_bank,국세환급은행,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,rtn_spot,지점,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,rtn_acct,계좌,Text,,,,,
BCC210,BC.계산서발행자정보,NULL,,cid,생성자,Int,,,,,
BCC210,BC.계산서발행자정보,NULL,,cdt,생성일,Date,,,,,
BCC210,BC.계산서발행자정보,NULL,,mid,수정자,Int,,,,,
BCC210,BC.계산서발행자정보,NULL,,mdt,수정일,Date,,,,,
BCC300,BC.공장정보,NULL,,fac_cd,공장코드,Text,1,1,,,
BCC300,BC.공장정보,NULL,,fac_nm,공장명,Text,,,,,
BCC300,BC.공장정보,NULL,,fac_bnm,공장명_약칭,Text,,,,,
BCC300,BC.공장정보,NULL,,co_cd,법인코드,Text,,,,,
BCC300,BC.공장정보,NULL,,bs_cd,사업장코드,Text,,,,,
BCC300,BC.공장정보,NULL,,mng_fac,관리공장코드,Text,1,,,,
BCC300,BC.공장정보,NULL,,cost_fac,원가귀속공장,Text,,,,,
BCC300,BC.공장정보,NULL,,mm_dept,자재관리부서,Text,,,,,
BCC300,BC.공장정보,NULL,,pp_dept,생산관리부서,Text,,,,,
BCC300,BC.공장정보,NULL,,disp_sq,정열순번,Int,,,,,
BCC300,BC.공장정보,NULL,,rmks,비고,Text,,,,,
BCC300,BC.공장정보,NULL,,cid,생성자,Int,,,,,
BCC300,BC.공장정보,NULL,,cdt,생성일,Date,,,,,
BCC300,BC.공장정보,NULL,,mid,수정자,Int,,,,,
BCC300,BC.공장정보,NULL,,mdt,수정일,Date,,,,,
BCC300L,BC.공장명(언어),NULL,,cd,공장코드,Text,1,1,,,
BCC300L,BC.공장명(언어),NULL,,fac_nm1,공장명1,Text,1,,,,
BCC300L,BC.공장명(언어),NULL,,fac_nm2,공장명2,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_nm3,공장명3,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_nm4,공장명4,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_nm5,공장명5,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_nm6,공장명6,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_bnm1,공장명_약칭1,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_bnm2,공장명_약칭2,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_bnm3,공장명_약칭3,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_bnm4,공장명_약칭4,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_bnm5,공장명_약칭5,Text,,,,,
BCC300L,BC.공장명(언어),NULL,,fac_bnm6,공장명_약칭6,Text,,,,,
BCC400,BC.사업부정보,NULL,,grp_cd,사업부코드,Text,1,1,,,
BCC400,BC.사업부정보,NULL,,grp_nm,사업부명,Text,,,,,
BCC400,BC.사업부정보,NULL,,bs_cd,사업장코드,Text,,,,,
BCC400,BC.사업부정보,NULL,,sq_no,정열순번,Int,,,,,
BCC400,BC.사업부정보,NULL,,rmks,비고,Text,,,,,
BCC400,BC.사업부정보,NULL,,cid,생성자,Int,,,,,
BCC400,BC.사업부정보,NULL,,cdt,생성일,Date,,,,,
BCC400,BC.사업부정보,NULL,,mid,수정자,Int,,,,,
BCC400,BC.사업부정보,NULL,,mdt,수정일,Date,,,,,
BCC400L,BC.사업부명(언어),NULL,,cd,사업부코드,Text,1,1,,,
BCC400L,BC.사업부명(언어),NULL,,nm1,사업부명1,Text,1,,,,
BCC400L,BC.사업부명(언어),NULL,,nm2,사업부명2,Text,,,,,
BCC400L,BC.사업부명(언어),NULL,,nm3,사업부명3,Text,,,,,
BCC400L,BC.사업부명(언어),NULL,,nm4,사업부명4,Text,,,,,
BCC400L,BC.사업부명(언어),NULL,,nm5,사업부명5,Text,,,,,
BCC400L,BC.사업부명(언어),NULL,,nm6,사업부명6,Text,,,,,
BCN100,BC.국가정보,NULL,,nat_cd,국가코드,Text,1,1,,,
BCN100,BC.국가정보,NULL,,nat_nm,국가명,Text,,,,,
BCN100,BC.국가정보,NULL,,area_bc,지역구분,Combo,,,,,
BCN100,BC.국가정보,NULL,,cury_bc,통화코드,Combo,,,,,
BCN100,BC.국가정보,NULL,,ddd_no,국가DDD,Text,,,,,
BCN100,BC.국가정보,NULL,,iso_cd,ISO코드,Text,,,,,
BCN100,BC.국가정보,NULL,,exp_yn,수출여부,Check,,,,,
BCN100,BC.국가정보,NULL,,imp_yn,수입여부,Check,,,,,
BCN100,BC.국가정보,NULL,,bs_yn,사업장존재여부,Check,,,,,
BCN100,BC.국가정보,NULL,,main_yn,기준국가여부,Check,,,,,
BCN100,BC.국가정보,NULL,,rmks,설명,Text,,,,,
BCN100,BC.국가정보,NULL,,cid,생성자,Int,,,,,
BCN100,BC.국가정보,NULL,,cdt,생성일,Date,,,,,
BCN100,BC.국가정보,NULL,,mid,수정자,Int,,,,,
BCN100,BC.국가정보,NULL,,mdt,수정일,Date,,,,,
BCN100L,BC.국가명(언어),NULL,,cd,국가코드,Text,1,1,,,
BCN100L,BC.국가명(언어),NULL,,nm1,국가명1,Text,1,,,,
BCN100L,BC.국가명(언어),NULL,,nm2,국가명2,Text,,,,,
BCN100L,BC.국가명(언어),NULL,,nm3,국가명3,Text,,,,,
BCN100L,BC.국가명(언어),NULL,,nm4,국가명4,Text,,,,,
BCN100L,BC.국가명(언어),NULL,,nm5,국가명5,Text,,,,,
BCN100L,BC.국가명(언어),NULL,,nm6,국가명6,Text,,,,,
BCV100,BC.거래처정보,NULL,,cust_cd,거래처코드,Text,1,1,,,
BCV100,BC.거래처정보,NULL,,cust_nm,거래처명,Text,,,,,
BCV100,BC.거래처정보,NULL,,prt_nm,거래처명_인쇄용,Text,,,,,
BCV100,BC.거래처정보,NULL,,co_cd,법인코드,Text,,,,,
BCV100,BC.거래처정보,NULL,,grp1_cd,대분류,Text,,,,,
BCV100,BC.거래처정보,NULL,,grp2_cd,중분류,Text,,,,,
BCV100,BC.거래처정보,NULL,,grp3_cd,소분류,Text,,,,,
BCV100,BC.거래처정보,NULL,,cust_bc,거래처구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,cust_kd,거래처형태,Combo,,,,,
BCV100,BC.거래처정보,NULL,,co_kd,기업구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,mng_kd,경영구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,size_bc,기업규모,Combo,,,,,
BCV100,BC.거래처정보,NULL,,lv_bc,중요도구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,credit_bc,신용등급구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,fr_dt,거래개시일,Date,,,,,
BCV100,BC.거래처정보,NULL,,to_dt,거래종료일,Date,,,,,
BCV100,BC.거래처정보,NULL,,sal_yn,매출여부,Check,,,,,
BCV100,BC.거래처정보,NULL,,pur_yn,매입여부,Check,,,,,
BCV100,BC.거래처정보,NULL,,de_bc,매출지역구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,di_bc,매입지역구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,tax_bc,매출부가세구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,iss_bc,전자계산서발행구분,Combo,,,,,
BCV100,BC.거래처정보,NULL,,sal_cust,매출정산거래처코드,Text,,,,,
BCV100,BC.거래처정보,NULL,,pur_cust,매입정산거래처코드,Text,,,,,
BCV100,BC.거래처정보,NULL,,pset_bc,매입결재조건,Combo,,,,,
BCV100,BC.거래처정보,NULL,,nat_cd,국가코드,Text,,,,,
BCV100,BC.거래처정보,NULL,,cury_bc,결재통화코드,Combo,,,,,
BCV100,BC.거래처정보,NULL,,cury_bc2,통화코드,Combo,,,,,
